Priced In,USD,USD,USD,USD,USD,USD
Price Type,Bid,Ask,Bid,Ask,Bid,Ask
Summary,High,High,Low,Low,Average,Average
2/12/09,"1,211.15","1,223.45","1,192.2","1,205.3",,
3/12/09,"1,221","1,233.3","1,209.95","1,222.45",,
4/12/09,"1,203.7","1,215.85","1,197.45","1,204.7",,
5/12/09,,,,,,
6/12/09,,,,,,
7/12/09,"1,154","1,166.5","1,134.75","1,147.25",,
8/12/09,"1,164","1,176.5","1,154.2","1,166.5",,
9/12/09,"1,131.9","1,144.4","1,123.35","1,135.65","1,129.02","1,141.54"
10/12/09,"1,129.8","1,142.2","1,121.45","1,133.75","1,125.09","1,137.58"
11/12/09,"1,134","1,146.4","1,127.55","1,140.65",,
12/12/09,,,,,,
13/12/09,,,,,,
14/12/09,"1,122.6","1,134.9","1,108.75","1,122.25",",
15/12/09, 1","124.00 """
17/12/09,"1,135.9","1,148.4","1,123.05","1,135.35",,
18/12/09,"1,104.6","1,117.1","1,098.3","1,111.2","1,101.99","1,114.47"
19/12/09,,,,,,
20/12/09,,,,,,
21/12/09,"1,111.25","1,123.55","1,107.45","1,119.75",,
22/12/09,"1,091.75","1,104.05","1,088.7","1,101",",
23/12/09, 1","083.10 """
30/12/09,"1,091.95","1,104.25","1,087.1","1,099.4",,
31/12/09,"1,100.7","1,113.2","1,088.6","1,101.3",,
1/01/10,,,,,,
2/01/10,,,,,,
3/01/10,,,,,,
4/01/10,"1,104.5","1,116.8","1,090.45","1,102.75",,
5/01/10,"1,122.9","1,135.2","1,116.6","1,128.9",,
6/01/10,"1,120.45","1,132.75","1,113.05","1,125.55",,
7/01/10,"1,133.35","1,146","1,127.9","1,140.2",,
8/01/10,"1,124.5","1,136.8","1,118.15","1,130.45",,
9/01/10,,,,,,
10/01/10,,,,,,
11/01/10,"1,152.75","1,165.05","1,145.55","1,161.05",,
12/01/10,"1,153.7","1,166","1,146.75","1,159.85",,
13/01/10,"1,127","1,139.3","1,122.3","1,134.6",,
14/01/10,"1,139.6","1,151.9","1,134.2","1,146.5",,
15/01/10,"1,140.75","1,153.05","1,132.7","1,145",,
16/01/10,,,,,,
17/01/10,,,,,,
18/01/10,"1,131.7","1,143.8","1,126.5","1,138.7",,
19/01/10,"1,135","1,147.5","1,131.3","1,143.8",,
20/01/10,"1,134.5","1,147.2","1,125.25","1,137.55",,
21/01/10,"1,110.1","1,123.2","1,107.55","1,119.85",,
22/01/10,"1,092.8","1,105.1","1,088.65","1,100.95","1,090.48","1,102.94"
23/01/10,,,,,,
24/01/10,,,,,,
25/01/10,"1,097.7","1,110","1,090","1,102.3","1,094","1,106.35"
26/01/10,,,,,,
27/01/10,"1,096.55","1,108.85","1,088.1","1,100.4","1,092.98","1,105.35"
28/01/10,"1,088.65","1,100.95","1,083.45","1,095.75","1,085.35","1,097.95"
29/01/10,"1,081.5","1,095","1,077.7","1,090.1","1,079.41","1,092.05"
30/01/10,,,,,,
31/01/10,,,,,,
1/02/10,"1,079.5","1,091.8","1,074","1,086.3","1,076.16","1,088.52"
2/02/10,"1,101.7","1,114","1,097.6","1,110",",
3/02/10, 1","116.55 """
4/02/10,"1,106.7","1,119","1,101.05","1,113.55",,
5/02/10,"1,062.75","1,075.2","1,050.3","1,062.8","1,059.2","1,071.65"
6/02/10,,,,,,
7/02/10,,,,,,
8/02/10,"1,067.85","1,080.15","1,061","1,073.3","1,063.04","1,075.36"
9/02/10,"1,067.25","1,079.75","1,058.55","1,072","1,062.7","1,075.16"
10/02/10,"1,074.9","1,087.3","1,071.15","1,083.5","1,072.56","1,084.89"
11/02/10,"1,075.55","1,087.85","1,069.15","1,082.65","1,073.7","1,086.13"
12/02/10,"1,091.65","1,105.15","1,084.25","1,096.55","1,086.43","1,098.94"
13/02/10,,,,,,
14/02/10,,,,,,
15/02/10,"1,092.35","1,105.25","1,087.8","1,100.1","1,089.7","1,102.22"
16/02/10,"1,111.25","1,123.55","1,094.55","1,108.05","1,104.78","1,117.32"
17/02/10,"1,118.25","1,130.55","1,112.05","1,124.55",,
18/02/10,"1,102.65","1,116.15","1,096.1","1,108.5",",
19/02/10, 1","107.35 """
20/02/10,,,,,,
21/02/10,,,,,,
22/02/10,"1,123.3","1,135.6","1,119.25","1,131.55",,
23/02/10,"1,114.65","1,126.95","1,107.7","1,120.15",,
24/02/10,"1,102.7","1,115","1,097.05","1,109.35",",
25/02/10, 1","096.15 """
26/02/10,"1,108.9","1,121.4","1,101.05","1,113.55","1,104.85","1,117.2"
27/02/10,,,,,,
28/02/10,"1,113.9","1,126.4","1,113.9","1,126.4",",
1/03/10,,,,,,,,,,,,,,,,,,,
2/03/10, 1","115.15 """
3/03/10,"1,130.55","1,142.9","1,128.6","1,140.9",,
4/03/10,"1,134.75","1,147.45","1,129.25","1,141.55",",
5/03/10, 1","131.10 """
6/03/10,,,,,,
7/03/10,,,,,,
8/03/10,"1,131.65","1,144.2","1,129.8","1,142.1",,
9/03/10,"1,118.95","1,131.45","1,116.35","1,128.65",,
10/03/10,"1,121.1","1,133.4","1,116.85","1,129.15",,
11/03/10,"1,106.15","1,118.45","1,102.15","1,114.45",",
12/03/10, 1","109.90 """
13/03/10,,,,,,
14/03/10,,,,,,
15/03/10,"1,100.8","1,113.1","1,099.2","1,111.5",",
16/03/10, 1","108.60 """
18/03/10,"1,119.9","1,132.2","1,117.8","1,130.1",,
19/03/10,"1,121.7","1,134.8","1,118.65","1,131.1",,
20/03/10,,,,,,
21/03/10,,,,,,
22/03/10,"1,103.65","1,115.95","1,100.7","1,113.6",",
23/03/10, 1","101.10 """
27/03/10,,,,,,
28/03/10,,,,,,
29/03/10,"1,107.45","1,119.75","1,100.55","1,112.85",,
30/03/10,"1,108.15","1,120.65","1,104.95","1,117.25",,
31/03/10,"1,105.15","1,117.45","1,098.7","1,111.6",,
1/04/10,"1,111.75","1,125.75","1,108.1","1,120.4",,
2/04/10,,,,,,
3/04/10,,,,,,
4/04/10,,,,,,
5/04/10,,,,,,
6/04/10,"1,127.4","1,139.75","1,120.95","1,133.45",,
7/04/10,"1,133.3","1,145.8","1,129.1","1,141.8",,
8/04/10,"1,144","1,156.5","1,140.15","1,152.65",,
9/04/10,"1,152.35","1,164.65","1,145.35","1,158.05",,
10/04/10,,,,,,
11/04/10,,,,,,
12/04/10,"1,164.2","1,177.7","1,159.6","1,171.9",,
13/04/10,"1,151.25","1,163.95","1,144.45","1,156.75",,
14/04/10,"1,155.85","1,168.15","1,147.05","1,160.15",,
15/04/10,"1,153.45","1,165.75","1,149.9","1,162.2",,
16/04/10,"1,155.3","1,167.6","1,149.35","1,161.65",,
17/04/10,,,,,,
18/04/10,,,,,,
19/04/10,"1,132.8","1,145.5","1,122.65","1,134.95",,
20/04/10,"1,138.05","1,150.35","1,131.55","1,143.9",,
21/04/10,"1,139.95","1,152.45","1,136.05","1,148.75",,
22/04/10,"1,143.95","1,156.25","1,141","1,153.3",,
23/04/10,"1,137.15","1,149.65","1,134.55","1,146.85",,
24/04/10,,,,,,
25/04/10,,,,,,
26/04/10,,,,,,
27/04/10,"1,151.9","1,164.2","1,147.85","1,160.35",,
28/04/10,"1,163","1,175.5","1,158.25","1,170.75",,
29/04/10,"1,166.25","1,178.75","1,160.85","1,173.15",,
30/04/10,"1,170.2","1,182.5","1,164.65","1,176.95",,
1/05/10,,,,,,
2/05/10,,,,,,
3/05/10,"1,174.6","1,186.9","1,172.74","1,185.04",,
4/05/10,"1,178.4","1,191.1","1,174.7","1,187",,
5/05/10,"1,167.45","1,179.75","1,163.2","1,175.5",,
6/05/10,"1,174.4","1,186.7","1,168.95","1,181.45",,
7/05/10,"1,202.2","1,214.8","1,193.9","1,206.3",,
8/05/10,,,,,,
9/05/10,,,,,,
10/05/10,"1,198.3","1,210.7","1,184.65","1,197.15",,
11/05/10,"1,204.85","1,217.15","1,197.3","1,209.8",,
12/05/10,"1,229.81","1,242.31","1,223","1,235.4",,
13/05/10,"1,234.75","1,247.25","1,230.8","1,243.2",,
14/05/10,"1,235.85","1,248.15","1,230.8","1,243.4",,
15/05/10,,,,,,
16/05/10,,,,,,
17/05/10,"1,237.7","1,250.2","1,229.85","1,242.35",,
18/05/10,"1,222","1,234.4","1,210.35","1,222.85",,
19/05/10,"1,220.9","1,233.4","1,205.8","1,218.3",,
20/05/10,"1,193.2","1,205.5","1,185.15","1,197.65",,
21/05/10,"1,180.8","1,193.05","1,163.1","1,175.6",,
22/05/10,,,,,,
23/05/10,,,,,,
24/05/10,"1,185.9","1,197.9","1,176.05","1,188.95",,
25/05/10,"1,190.5","1,203","1,183.3","1,195.3",,
26/05/10,"1,205.6","1,217.6","1,198.5","1,211.4",,
27/05/10,"1,212.55","1,224.65","1,206.1","1,219",,
28/05/10,"1,210.05","1,222.35","1,205.1","1,217.1",,
29/05/10,,,,,,
30/05/10,,,,,,
31/05/10,"1,210.55","1,222.55","1,206.7","1,219.1",,
1/06/10,"1,217.25","1,229.25","1,211.2","1,223.4",,
2/06/10,"1,222.65","1,234.65","1,216.35","1,228.35",,
3/06/10,"1,219.2","1,231.65","1,217.5","1,229.75",,
4/06/10,"1,203.25","1,215.55","1,200.4","1,212.65",,
5/06/10,,,,,,
6/06/10,,,,,,
7/06/10,,,,,,
8/06/10,"1,240.9","1,253.2","1,232.8","1,245.2",,
9/06/10,"1,234.05","1,246.35","1,227.35","1,239.85",,
10/06/10,"1,228.45","1,241.15","1,218.9","1,230.9",,
11/06/10,"1,217","1,229","1,213.85","1,225.85",,
12/06/10,,,,,,
13/06/10,,,,,,
14/06/10,"1,228.35","1,240.65","1,224.95","1,236.95",,
15/06/10,"1,218.35","1,230.85","1,216","1,228.3",,
16/06/10,"1,229.95","1,242.25","1,228.2","1,240.2",,
17/06/10,"1,230.05","1,242.05","1,226.9","1,239.6",,
18/06/10,"1,240.7","1,252.8","1,238.3","1,250.8",,
19/06/10,,,,,,
20/06/10,,,,,,
21/06/10,"1,258.65","1,270.9","1,252","1,264.3",,
22/06/10,"1,235.25","1,247.55","1,231.65","1,243.9",,
23/06/10,"1,238.8","1,250.8","1,234.95","1,247.2",,
24/06/10,"1,232.7","1,244.9","1,226.35","1,238.35",,
25/06/10,"1,242.4","1,254.4","1,238.65","1,251",,
26/06/10,,,,,,
27/06/10,,,,,,
28/06/10,"1,253.75","1,266","1,250.15","1,262.65",,
29/06/10,"1,251.7","1,264","1,230.3","1,242.55",,
30/06/10,"1,239.1","1,251.3","1,236","1,248.5",,
1/07/10,"1,240.8","1,250.55","1,235.1","1,241.3",,
2/07/10,"1,207.83","1,220.13","1,196.7","1,209.2",,
3/07/10,,,,,,
4/07/10,,,,,,
5/07/10,"1,209.45","1,221.7","1,206.75","1,219",,
6/07/10,"1,207.95","1,220.45","1,200.95","1,213.2",,
7/07/10,"1,191.9","1,204.15","1,183.5","1,195.5",,
8/07/10,"1,201.75","1,214","1,198.1","1,210.1",,
9/07/10,"1,195.3","1,207.55","1,191.85","1,204.1",,
10/07/10,,,,,,
11/07/10,,,,,,
12/07/10,"1,207.4","1,219.9","1,203.25","1,215.5",,
13/07/10,"1,200.4","1,212.4","1,193.15","1,205.45",,
14/07/10,"1,210.25","1,222.55","1,206.7","1,218.95",,
15/07/10,"1,209.7","1,221.7","1,204.55","1,217.65",,
16/07/10,"1,206.35","1,218.6","1,200.35","1,212.35",,
17/07/10,,,,,,
18/07/10,,,,,,
19/07/10,"1,189.15","1,201.5","1,185.75","1,198.8",,
20/07/10,"1,179.95","1,191.95","1,176","1,188.25",,
21/07/10,"1,187.95","1,200.25","1,184.4","1,196.9",,
22/07/10,"1,183.1","1,195.1","1,177.9","1,189.9",,
23/07/10,"1,198.95","1,205.75","1,189.55","1,199.5",,
24/07/10,,,,,,
25/07/10,,,,,,
26/07/10,"1,189.8","1,201.8","1,184.45","1,196.75",,
27/07/10,"1,182.55","1,194.55","1,180.1","1,192.3",,
28/07/10,"1,159.9","1,173.45","1,150.95","1,170",,
29/07/10,"1,165.55","1,177.25","1,159.9","1,166.05",,
30/07/10,"1,165.4","1,177.65","1,161.6","1,173.9",,
31/07/10,,,,,,
1/08/10,,,,,,
2/08/10,"1,179.4","1,191.7","1,176.1","1,188.35",,
3/08/10,"1,180","1,192","1,177.95","1,190.2",,
4/08/10,"1,190.65","1,202.95","1,185.2","1,197.4",,
5/08/10,"1,192.3","1,204.6","1,189.65","1,201.7",,
6/08/10,"1,193.35","1,205.5","1,188.9","1,201.3",,
7/08/10,,,,,,
8/08/10,,,,,,
9/08/10,"1,205.15","1,217.4","1,199.5","1,211.8",,
10/08/10,"1,197.25","1,209.75","1,194.15","1,206.15",,
11/08/10,"1,199.75","1,211.75","1,192.9","1,205.2",,
12/08/10,"1,197","1,209.2","1,194.2","1,206.45",,
13/08/10,"1,211.9","1,224.3","1,208.9","1,221.2",,
14/08/10,,,,,,
15/08/10,,,,,,
16/08/10,"1,215.8","1,228.2","1,210.4","1,223.1",,
17/08/10,"1,222.05","1,234.55","1,218.4","1,230.65",,
18/08/10,"1,222.25","1,234.25","1,217.55","1,229.55",,
19/08/10,"1,226.35","1,238.85","1,224","1,236.3",,
20/08/10,"1,228.2","1,240.7","1,226.55","1,238.8",,
21/08/10,,,,,,
22/08/10,,,,,,
23/08/10,"1,225.7","1,237.7","1,222.2","1,234.45",,
24/08/10,"1,220.5","1,232.6","1,214.7","1,226.7",,
25/08/10,"1,228.95","1,240.9","1,224.9","1,237.1",,
26/08/10,"1,238.45","1,250.45","1,234.9","1,247",,
27/08/10,"1,232.9","1,245.4","1,231.05","1,243.05",,
28/08/10,,,,,,
29/08/10,,,,,,
30/08/10,"1,233.95","1,246.05","1,230.7","1,242.7",,
31/08/10,"1,233.4","1,245.9","1,228.8","1,241.1",,
1/09/10,"1,246.65","1,258.65","1,241.85","1,253.85",,
2/09/10,"1,244.15","1,256.45","1,240.4","1,252.6",,
3/09/10,"1,248.25","1,260.44","1,245.55","1,257.8",,
4/09/10,,,,,,
5/09/10,,,,,,
6/09/10,"1,245.95","1,257.95","1,243.2","1,255.3",,
7/09/10,"1,246.3","1,259.4","1,243.9","1,255.8",,
8/09/10,"1,256.25","1,267.95","1,251.85","1,263.8",,
9/09/10,"1,252.6","1,264.55","1,249.3","1,261.3",,
10/09/10,"1,244.05","1,256.05","1,240.4","1,252.85",,
11/09/10,,,,,,
12/09/10,,,,,,
13/09/10,"1,243.35","1,255.35","1,238.5","1,250.5",,
14/09/10,"1,250.1","1,262.1","1,244.1","1,255.9",,
15/09/10,"1,266.85","1,278.85","1,263.15","1,275",,
16/09/10,"1,265.5","1,277.5","1,261.05","1,273.3",,
17/09/10,"1,277.9","1,289.85","1,269.05","1,281.05",,
18/09/10,,,,,,
19/09/10,,,,,,
20/09/10,"1,277.9","1,289.85","1,271.1","1,283.45",,
21/09/10,"1,275.4","1,287.15","1,273.45","1,285.45",,
22/09/10,"1,286.8","1,298.7","1,283.5","1,295.35",,
23/09/10,"1,288.8","1,301.3","1,286.95","1,299.3",,
24/09/10,"1,293.75","1,306","1,288.45","1,300.45",,
25/09/10,,,,,,
26/09/10,,,,,,
27/09/10,,,,,,
28/09/10,"1,289.15","1,301.15","1,287.55","1,299.55",,
29/09/10,"1,307.2","1,319.2","1,303.25","1,315.25",,
30/09/10,"1,307.95","1,319.95","1,302.8","1,314.95",,
1/10/10,"1,308.45","1,320.7","1,303.1","1,314.95",,
2/10/10,,,,,,
3/10/10,,,,,,
4/10/10,"1,315.5","1,327.5","1,313.25","1,325.2",,
5/10/10,"1,321.45","1,333.45","1,309.75","1,322.25",,
6/10/10,"1,345.35","1,357.6","1,335","1,347.25",,
7/10/10,"1,358.4","1,370.35","1,341.05","1,353.3",,
8/10/10,"1,330.85","1,343.1","1,324.6","1,336.8",,
9/10/10,,,,,,
10/10/10,,,,,,
11/10/10,"1,348.6","1,360.7","1,343.3","1,355.4",,
12/10/10,"1,348.9","1,361.2","1,338.55","1,350.8",,
13/10/10,"1,354.05","1,366.2","1,338.9","1,358.95",,
14/10/10,"1,380.6","1,392.4","1,369.4","1,381.35",,
15/10/10,"1,376.6","1,388.45","1,373.55","1,385.5",,
16/10/10,,,,,,
17/10/10,,,,,,
18/10/10,"1,361.8","1,374.1","1,351.9","1,364.15",,
19/10/10,"1,365.2","1,377.4","1,361.7","1,373.7",,
20/10/10,"1,337.1","1,349.2","1,328.8","1,341.05",,
21/10/10,"1,344.3","1,356.25","1,338.45","1,350.35",,
22/10/10,"1,323.34","1,335.61","1,312.7","1,325",,
23/10/10,,,,,,
24/10/10,,,,,,
25/10/10,"1,343.55","1,355.8","1,329","1,341.36",,
26/10/10,"1,336.95","1,348.95","1,332.35","1,344.35",,
27/10/10,"1,337.95","1,349.95","1,327.04","1,339.31",,
28/10/10,"1,324.1","1,336.1","1,319.35","1,331.6",,
29/10/10,"1,337.35","1,349.35","1,334.35","1,346.35",,
30/10/10,,,,,,
31/10/10,,,,,,
1/11/10,"1,359.09","1,371.36","1,353.75","1,365.75",,
2/11/10,"1,353.5","1,365.58","1,349.55","1,361.55",,
3/11/10,"1,352.99","1,365.26","1,350.25","1,362.25",,
4/11/10,"1,354.85","1,366.85","1,344.06","1,356.33",,
5/11/10,"1,385.7","1,398","1,379.2","1,391.2",,
6/11/10,,,,,,
7/11/10,,,,,,
8/11/10,"1,393.45","1,405.7","1,384.75","1,397",,
9/11/10,"1,408.92","1,421.19","1,402","1,414.25",,
10/11/10,"1,405.9","1,418.15","1,389.89","1,402.2",,
11/11/10,"1,403.7","1,415.7","1,397.26","1,409.53",,
12/11/10,"1,403.76","1,416.03","1,378.9","1,390.9",,
13/11/10,,,,,,
14/11/10,,,,,,
15/11/10,"1,371.39","1,383.66","1,361.6","1,373.8",,
16/11/10,"1,359.34","1,371.61","1,352.36","1,364.63",,
17/11/10,"1,335.21","1,347.48","1,328.9","1,340.9",,
18/11/10,"1,352.49","1,364.76","1,334.05","1,346.66",,
19/11/10,"1,354.55","1,366.55","1,349.4","1,361.4",,
20/11/10,,,,,,
21/11/10,,,,,,
22/11/10,"1,359.8","1,371.8","1,353.75","1,366.33",,
23/11/10,"1,365.1","1,377.1","1,355.05","1,367.05",,
24/11/10,"1,373.69","1,386","1,368.65","1,380.95",,
25/11/10,"1,369.5","1,383","1,366.24","1,378.51",,
26/11/10,"1,369.75","1,382","1,361.85","1,373.85",,
27/11/10,,,,,,
28/11/10,,,,,,
29/11/10,"1,361.65","1,373.95","1,350.69","1,362.96",,
30/11/10,"1,364.9","1,377.15","1,359.3","1,371.6",,
1/12/10,"1,388.1","1,400.4","1,379.46","1,391.73",,
2/12/10,"1,389.4","1,401.4","1,383.75","1,395.75",,
3/12/10,"1,387.3","1,399.7","1,381.97","1,394.24",,
4/12/10,,,,,,
5/12/10,,,,,,
6/12/10,"1,411.25","1,423.5","1,407.24","1,419.51",,
7/12/10,"1,419.5","1,434","1,414.6","1,426.6",,
8/12/10,"1,399.24","1,411.51","1,388.55","1,400.8",,
9/12/10,"1,385.89","1,398.2","1,377.47","1,389.74",,
10/12/10,"1,387.25","1,399.55","1,382.65","1,394.9",,
11/12/10,,,,,,
12/12/10,,,,,,
13/12/10,"1,385.21","1,397.48","1,379.31","1,391.58",,
14/12/10,"1,401.3","1,413.3","1,391","1,403.5",,
15/12/10,"1,392.71","1,404.98","1,383.35","1,395.85",,
16/12/10,"1,379.45","1,391.45","1,374.31","1,386.58",,
17/12/10,"1,372.85","1,384.85","1,365.09","1,377.36",,
18/12/10,,,,,,
19/12/10,,,,,,
20/12/10,"1,382.9","1,394.9","1,374.39","1,386.8",,
21/12/10,"1,384.15","1,396.15","1,380.21","1,392.35",,
22/12/10,"1,386.37","1,398.64","1,382.15","1,394.54",,
23/12/10,"1,383.9","1,395.95","1,381.31","1,393.58",,
24/12/10,"1,380.25","1,394.46","1,374.32","1,386.82",,
25/12/10,,,,,,
26/12/10,,,,,,
27/12/10,,,,,,
28/12/10,,,,,,
29/12/10,"1,404.26","1,416.53","1,398.2","1,410.7",,
30/12/10,"1,409.75","1,421.75","1,407.62","1,419.89",,
31/12/10,"1,405.55","1,417.7","1,400.75","1,413.58",,
1/01/11,,,,,,
2/01/11,,,,,,
3/01/11,,,,,,
4/01/11,"1,412.35","1,424.65","1,404.85","1,417.35",,
5/01/11,"1,380.45","1,392.45","1,375","1,387.3",,
6/01/11,"1,373.81","1,386.08","1,370.49","1,383.05",,
7/01/11,"1,368.39","1,380.9","1,358.7","1,370.7",,
8/01/11,,,,,,
9/01/11,,,,,,
10/01/11,"1,371.25","1,383.25","1,363.59","1,375.86",,
11/01/11,"1,376.95","1,388.95","1,369.91","1,382.18",,
12/01/11,"1,381.65","1,393.8","1,377.5","1,390.4",,
13/01/11,"1,383.19","1,395.9","1,379.55","1,391.8",,
14/01/11,"1,373.5","1,385.75","1,367.45","1,379.7",,
15/01/11,,,,,,
16/01/11,,,,,,
17/01/11,"1,361.41","1,373.68","1,356.96","1,369.23",,
18/01/11,"1,362.48","1,374.73","1,356.89","1,369.18",,
19/01/11,"1,372.26","1,384.53","1,363.46","1,375.73",,
20/01/11,"1,366.35","1,378.65","1,359.65","1,371.65",,
21/01/11,"1,344.45","1,356.71","1,341.2","1,353.5",,
22/01/11,,,,,,
23/01/11,,,,,,
24/01/11,"1,348.6","1,360.8","1,339.96","1,352.23",,
25/01/11,"1,333.74","1,346.01","1,326.7","1,338.95",,
26/01/11,,,,,,
27/01/11,"1,343.35","1,355.35","1,335.18","1,347.43",,
28/01/11,"1,311.95","1,323.95","1,305.1","1,317.3",,
29/01/11,,,,,,
30/01/11,,,,,,
31/01/11,"1,341.15","1,355.2","1,328.05","1,340.25",,
1/02/11,"1,335.48","1,347.73","1,328.55","1,340.55",,
2/02/11,"1,338.69","1,351.1","1,333.3","1,345.3",,
3/02/11,"1,331.56","1,344","1,325.25","1,337.45",,
4/02/11,"1,347.91","1,362.55","1,344.29","1,356.56",,
5/02/11,,,,,,
6/02/11,,,,,,
7/02/11,"1,344.75","1,356.75","1,340.22","1,352.55",,
8/02/11,"1,351.09","1,363.36","1,346.05","1,358.25",,
9/02/11,"1,360.84","1,373.11","1,358.19","1,370.49",,
10/02/11,"1,359.8","1,371.8","1,353.75","1,365.75",,
11/02/11,"1,360.65","1,373","1,358.35","1,370.35",,
12/02/11,,,,,,
13/02/11,,,,,,
14/02/11,"1,355.06","1,367.33","1,351.05","1,363.3",,
15/02/11,"1,361","1,373.3","1,358.29","1,370.56",,
16/02/11,"1,372.81","1,385.08","1,367.25","1,379.25",,
17/02/11,"1,375.5","1,387.8","1,370.8","1,383.3",,
18/02/11,"1,382.01","1,394.28","1,379.07","1,391.34",,
19/02/11,,,,,,
20/02/11,,,,,,
21/02/11,"1,391.89","1,404.16","1,386.49","1,399",,
22/02/11,"1,405.6","1,417.6","1,394.8","1,407.2",,
23/02/11,"1,396.49","1,409.3","1,392.05","1,404.05",,
24/02/11,"1,410.6","1,422.85","1,404.15","1,416.15",,
25/02/11,"1,403.2","1,415.44","1,398.1","1,410.3",,
26/02/11,,,,,,
27/02/11,,,,,,
28/02/11,"1,411.6","1,423.6","1,404.95","1,416.95",,
1/03/11,"1,410.9","1,422.9","1,405.25","1,417.25",,
2/03/11,"1,429.24","1,441.51","1,423.76","1,436.03",,
3/03/11,"1,432","1,444","1,420.1","1,432.1",,
4/03/11,"1,414.74","1,427.01","1,409.69","1,421.96",,
5/03/11,,,,,,
6/03/11,,,,,,
7/03/11,,,,,,
8/03/11,"1,428.8","1,441","1,422.8","1,435.05",,
9/03/11,"1,425.74","1,438.01","1,420.59","1,432.86",,
10/03/11,"1,426.95","1,439.25","1,423.55","1,435.55",,
11/03/11,"1,414.15","1,426.15","1,407.14","1,419.41",,
12/03/11,,,,,,
13/03/11,,,,,,
14/03/11,"1,423.8","1,436.06","1,415.2","1,427.45",,
15/03/11,"1,421.95","1,434.39","1,406.3","1,418.55",,
16/03/11,"1,396.9","1,409.2","1,390","1,402.25",,
17/03/11,"1,394.9","1,406.9","1,383.89","1,396.2",,
18/03/11,"1,409.7","1,421.95","1,402.25","1,414.75",,
19/03/11,,,,,,
20/03/11,,,,,,
21/03/11,"1,424.41","1,436.69","1,420.4","1,433.9",,
22/03/11,"1,427.8","1,439.8","1,422.09","1,434.4",,
23/03/11,"1,425.15","1,437.15","1,422.55","1,434.55",,
24/03/11,"1,435.05","1,447.05","1,432.09","1,444.36",,
25/03/11,"1,430.6","1,442.96","1,427.6","1,439.9",,
26/03/11,,,,,,
27/03/11,,,,,,
28/03/11,"1,423.45","1,435.5","1,413.3","1,425.6",,
29/03/11,"1,416.77","1,429.04","1,412.8","1,425.05",,
30/03/11,"1,417.2","1,429.2","1,411","1,423.3",,
31/03/11,"1,423.45","1,435.45","1,417.36","1,429.63",,
1/04/11,"1,431","1,443","1,426.35","1,438.4",,
2/04/11,,,,,,
3/04/11,,,,,,
4/04/11,"1,429.05","1,441.35","1,425.6","1,437.75",,
5/04/11,"1,434.1","1,777.95","1,430.3","1,442.8",,
6/04/11,"1,453.5","1,465.75","1,447.3","1,459.58",,
7/04/11,"1,455.1","1,467.35","1,448.99","1,461.33",,
8/04/11,"1,464.36","1,476.63","1,453.29","1,465.6",,
9/04/11,,,,,,
10/04/11,,,,,,
11/04/11,"1,471.59","1,484.1","1,467.15","1,479.45",,
12/04/11,"1,459.45","1,471.95","1,450.21","1,462.48",,
13/04/11,"1,454.16","1,466.43","1,448.95","1,461.25",,
14/04/11,"1,458.89","1,471.3","1,450.59","1,463.1",,
15/04/11,"1,474.46","1,486.74","1,468.53","1,480.83",,
16/04/11,,,,,,
17/04/11,,,,,,
18/04/11,"1,484.36","1,496.63","1,480.29","1,492.95",,
19/04/11,"1,491.2","1,503.7","1,484.41","1,496.68",,
20/04/11,"1,498.95","1,511.45","1,490.2","1,502.5",,
21/04/11,"1,503.26","1,515.53","1,495.5","1,511",,
22/04/11,,,,,,
23/04/11,,,,,,
24/04/11,,,,,,
25/04/11,,,,,,
26/04/11,,,,,,
27/04/11,"1,504.96","1,517.23","1,501.99","1,514.5",,
28/04/11,"1,527.49","1,539.8","1,521.29","1,533.6",,
29/04/11,"1,531.85","1,544.15","1,528.82","1,541.12",,
30/04/11,,,,,,
1/05/11,,,,,,
2/05/11,"1,554.4","1,567.1","1,539.09","1,551.7",,
3/05/11,"1,544.99","1,557.5","1,535.4","1,547.8",,
4/05/11,"1,534","1,546.75","1,527.38","1,539.9",,
5/05/11,"1,516.85","1,529.8","1,508.19","1,521.15",,
6/05/11,"1,485.56","1,498.28","1,468.19","1,480.7",,
7/05/11,,,,,,
8/05/11,,,,,,
9/05/11,"1,505.3","1,518.05","1,489.25","1,501.75",,
10/05/11,"1,512.26","1,524.61","1,503.69","1,516.41",,
11/05/11,"1,521.8","1,534.05","1,511.85","1,524.75",,
12/05/11,"1,501.66","1,513.93","1,485.6","1,497.85",,
13/05/11,"1,508.79","1,521.2","1,498.6","1,511.1",,
14/05/11,,,,,,
15/05/11,,,,,,
16/05/11,"1,492.79","1,505.51","1,485.26","1,497.53",,
17/05/11,"1,492.4","1,504.7","1,485.66","1,497.93",,
18/05/11,"1,491.89","1,504.2","1,482.36","1,494.63",,
19/05/11,"1,494.79","1,507.51","1,485.35","1,497.65",,
20/05/11,"1,497.36","1,509.63","1,489.49","1,502.05",,
21/05/11,,,,,,
22/05/11,,,,,,
23/05/11,"1,511.05","1,523.75","1,503.49","1,515.91",,
24/05/11,"1,516.96","1,529.23","1,509.9","1,522.46",,
25/05/11,"1,521.29","1,533.7","1,517.8","1,530.05",,
26/05/11,"1,526.22","1,538.51","1,519.99","1,532.4",,
27/05/11,"1,523.19","1,535.5","1,518.49","1,531",,
28/05/11,,,,,,
29/05/11,,,,,,
